"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Forwards","Standard","Touches (Att Pen)",6.22,98,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Progressive Passes Rec",6.79,93,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Tackles",0.54,34,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Interceptions",0.18,30,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Blocks",0.36,21,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Clearances",0,2,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Aerials won",0.21,2,3023,"2020-2021 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.63,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.48,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",4.81,97,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.66,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.48,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.96,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",7.25,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",66.56,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",78.6,69,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",8.47,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",5.69,99,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",6.44,93,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",6.56,84,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.66,20,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.22,10,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.28,1,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0.03,5,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.31,16,2880,"2019-2020 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.41,75,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.63,92,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",4.21,93,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.41,73,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.53,93,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",1.16,95,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.12,95,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",54.38,80,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",77.5,47,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",6.39,96,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",7.75,99,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",5.71,81,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",5.85,46,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.27,5,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.27,25,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.41,25,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,12,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.41,42,662,"2019-2020 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0,18,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.2,41,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",2.96,86,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.19,50,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.31,77,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.52,59,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",5.37,77,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",42.04,77,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",75.8,41,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",3.89,77,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",4.07,86,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",3.7,59,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",3.52,32,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",1.11,59,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.37,41,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.74,68,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0.19,59,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0,14,486,"2019 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",1.06,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.66,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",5.47,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.43,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.48,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",1.13,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",8.03,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",64.22,96,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",77.7,66,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",9.06,99,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",4.45,96,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",5.37,92,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",6.07,77,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.4,1,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.1,1,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.33,1,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0.03,1,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.23,19,2713,"2018-2019 La Liga"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",1.18,98,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.61,93,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",5.69,98,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.32,74,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.57,96,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",1.18,97,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",8.48,98,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",65.73,94,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",82.5,82,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",10.31,99,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",3.76,91,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",5.37,78,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",5.8,52,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",1.07,37,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.32,26,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.64,33,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,9,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.11,21,838,"2018-2019 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.25,60,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.35,84,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",4.25,96,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.5,96,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.3,79,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.65,96,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",7,96,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",53.5,77,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",79.4,71,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",5.5,94,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",5.75,96,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",3.5,60,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",7.25,77,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",1.25,43,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.25,13,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",1.75,94,360,"2018 FIFA World Cup"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,11,360,"2018 FIFA World Cup"
