"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.3,77,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.66,79,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",3.86,66,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",64.57,99,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",85.4,92,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",5.86,98,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",3.29,94,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",3.57,55,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",3.43,20,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",0.43,5,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0,9,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.57,21,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,15,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.14,21,630,"2021-2022 Champions League"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty Goals",0.41,77,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Non-Penalty xG",0.34,77,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Shots Total",3.68,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Assists",0.68,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","xAG",0.52,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","npxG + xAG",0.86,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Shot-Creating Actions",6.95,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Passes Attempted",44.32,59,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Pass Completion %",76.9,41,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes",5.18,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Dribbles Completed",4.64,95,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Touches (Att Pen)",5.05,59,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Progressive Passes Rec",4.5,32,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Tackles",1.09,14,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Interceptions",0.27,5,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Blocks",0.82,41,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Clearances",0,9,660,"2021 Copa América"
"Lionel Messi","Att Mid / Wingers","Standard","Aerials won",0.14,23,660,"2021 Copa América"
"Lionel Messi","Forwards","Standard","Non-Penalty Goals",0.17,33,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Non-Penalty xG",0.33,40,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Shots Total",5.33,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Assists",0.33,87,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","xAG",0.45,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","npxG + xAG",0.77,86,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Shot-Creating Actions",9,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Passes Attempted",76,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Pass Completion %",86.2,95,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Progressive Passes",8.33,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Dribbles Completed",4.83,99,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Touches (Att Pen)",6.5,83,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Progressive Passes Rec",6.67,66,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Tackles",0.83,66,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Interceptions",0.33,46,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Blocks",0.33,16,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Clearances",0,9,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Aerials won",0,2,540,"2020-2021 Champions League"
"Lionel Messi","Forwards","Standard","Non-Penalty Goals",0.8,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Non-Penalty xG",0.53,93,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Shots Total",5.69,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Assists",0.27,90,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","xAG",0.28,98,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","npxG + xAG",0.81,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Shot-Creating Actions",7.23,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Passes Attempted",71.51,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Pass Completion %",81.3,95,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Progressive Passes",7.83,99,3023,"2020-2021 La Liga"
"Lionel Messi","Forwards","Standard","Dribbles Completed",4.73,99,3023,"2020-2021 La Liga"
