Player,Versus,StatGroup,Statistic,Per90,Percentile,BasedOnMinutes,scouting_period,,Goals
Cristiano Ronaldo,Att Mid / Wingers,Standard,Clearances,0.65,59,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Att Mid / Wingers,Standard,Aerials won,1.11,85,2917,2019-2020 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.54,89,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.59,98,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,5.73,99,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.27,92,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.15,70,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.74,98,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,4.85,89,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,37.3,84,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,82.1,90,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.94,73,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,1.51,83,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),6.56,95,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,9.31,96,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.33,7,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.2,45,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.23,8,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Clearances,1.07,81,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.07,37,2688,2018-2019 Serie A,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.6,78,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.49,68,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,5.66,98,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Assists,0.24,73,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.39,91,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,npxG + xAG,0.88,91,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Shot-Creating Actions,5.05,93,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Passes Attempted,35.37,83,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Pass Completion %,79.3,81,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes,1.56,45,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Dribbles Completed,2.17,91,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Touches (Att Pen),6.02,85,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Progressive Passes Rec,9.51,93,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Tackles,0.36,30,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Interceptions,0.36,63,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Blocks,0.24,20,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Clearances,0.72,50,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Aerials won,1.93,60,748,2018-2019 Champions League,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty Goals,0.75,85,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Non-Penalty xG,0.35,60,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Shots Total,4.75,98,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,Assists,0,29,360,2018 FIFA World Cup,,
Cristiano Ronaldo,Forwards,Standard,xAG,0.13,56,360,2018 FIFA World Cup,,
