"Player","Versus","StatGroup","Statistic","Per90","Percentile","BasedOnMinutes","scouting_period"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.06,7,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.41,45,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",2.98,36,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",34.64,29,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",80.7,76,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.14,5,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",3.55,89,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",6.25,83,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",7.95,83,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.56,79,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.14,8,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",1.42,83,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.43,55,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0,7,634,"2020-2021 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.14,44,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.3,85,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",1.83,48,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.14,34,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.22,81,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.52,87,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",3.34,60,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",36.34,42,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",82.6,81,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",1.83,19,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",2.01,64,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",5.71,91,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",6.95,91,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",1.46,79,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.32,13,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",1.28,79,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0.18,11,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Aerials won",0.18,7,1969,"2020-2021 La Liga"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty Goals",0.46,81,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Non-Penalty xG",0.28,63,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shots Total",1.39,25,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Assists",0.46,78,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","xAG",0.42,78,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","npxG + xAG",0.7,72,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Shot-Creating Actions",3.71,45,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Passes Attempted",40.36,40,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Pass Completion %",78.2,60,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes",2.32,37,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Dribbles Completed",2.32,60,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Touches (Att Pen)",5.1,70,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Progressive Passes Rec",6.96,69,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Tackles",2.32,84,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Interceptions",0.46,48,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Blocks",0,2,194,"2019-2020 Champions League"
"Vinicius Júnior","Att Mid / Wingers","Standard","Clearances",0,12,194,"2019-2020 Champions League"
